Period,sales
01/01/1992,29778
02/01/1992,28784
03/01/1992,29794
04/01/1992,30514
05/01/1992,31821
06/01/1992,30839
07/01/1992,32452
08/01/1992,31489
09/01/1992,30298
10/01/1992,31473
11/01/1992,30613
12/01/1992,34222
01/01/1993,30213
02/01/1993,28235
03/01/1993,30654
04/01/1993,30952
05/01/1993,32121
06/01/1993,31652
07/01/1993,33208
08/01/1993,31351
09/01/1993,30679
10/01/1993,31320
11/01/1993,31012
12/01/1993,35124
01/01/1994,30361
02/01/1994,28549
03/01/1994,31976
04/01/1994,31314
05/01/1994,32432
06/01/1994,32636
07/01/1994,33329
08/01/1994,32641
09/01/1994,32044
10/01/1994,32117
11/01/1994,31992
12/01/1994,36279
01/01/1995,31094
02/01/1995,29134
03/01/1995,32491
04/01/1995,31993
05/01/1995,33207
06/01/1995,33086
07/01/1995,33529
08/01/1995,33457
09/01/1995,32375
10/01/1995,32049
11/01/1995,32549
12/01/1995,36608
01/01/1996,31779
02/01/1996,31068
03/01/1996,33133
04/01/1996,32176
05/01/1996,34621
06/01/1996,33663
07/01/1996,34609
08/01/1996,35033
09/01/1996,32270
10/01/1996,33750
11/01/1996,34173
12/01/1996,36482
01/01/1997,33290
02/01/1997,30589
03/01/1997,34447
04/01/1997,32698
05/01/1997,35571
06/01/1997,33692
07/01/1997,35430
08/01/1997,35304
09/01/1997,33111
10/01/1997,34624
11/01/1997,34318
12/01/1997,37453
01/01/1998,33487
02/01/1998,30871
03/01/1998,33624
04/01/1998,34055
05/01/1998,35911
06/01/1998,34403
07/01/1998,36439
08/01/1998,35618
09/01/1998,34072
10/01/1998,35468
11/01/1998,34820
12/01/1998,39297
01/01/1999,34440
02/01/1999,32461
03/01/1999,35577
04/01/1999,35168
05/01/1999,37294
06/01/1999,36000
07/01/1999,38137
08/01/1999,36306
09/01/1999,35777
10/01/1999,36414
11/01/1999,35936
12/01/1999,42036
01/01/2000,34458
02/01/2000,33646
03/01/2000,36464
04/01/2000,36619
05/01/2000,37913
06/01/2000,37699
07/01/2000,38244
08/01/2000,38028
09/01/2000,36958
10/01/2000,36689
11/01/2000,37640
12/01/2000,42347
01/01/2001,36338
02/01/2001,34722
03/01/2001,38565
04/01/2001,37200
05/01/2001,39835
06/01/2001,39265
07/01/2001,39428
08/01/2001,39905
09/01/2001,38049
10/01/2001,38596
11/01/2001,39295
12/01/2001,43080
01/01/2002,37959
02/01/2002,35497
03/01/2002,39623
04/01/2002,36671
05/01/2002,40589
06/01/2002,38760
07/01/2002,39917
08/01/2002,40202
09/01/2002,37244
10/01/2002,38602
11/01/2002,39744
12/01/2002,42084
01/01/2003,38862
02/01/2003,35837
03/01/2003,38767
04/01/2003,38768
05/01/2003,41237
06/01/2003,39098
07/01/2003,41087
08/01/2003,40910
09/01/2003,38656
10/01/2003,39851
11/01/2003,39921
12/01/2003,43480
01/01/2004,40203
02/01/2004,37352
03/01/2004,39898
04/01/2004,39981
05/01/2004,42209
06/01/2004,40588
07/01/2004,42605
08/01/2004,40677
09/01/2004,40404
10/01/2004,41143
11/01/2004,41218
12/01/2004,46099
01/01/2005,40618
02/01/2005,38084
03/01/2005,42427
04/01/2005,41002
05/01/2005,43210
06/01/2005,42575
07/01/2005,43863
08/01/2005,42890
09/01/2005,42061
10/01/2005,42442
11/01/2005,42770
12/01/2005,47993
01/01/2006,41461
02/01/2006,39377
03/01/2006,43120
04/01/2006,42691
05/01/2006,45053
06/01/2006,44350
07/01/2006,44943
08/01/2006,44986
09/01/2006,43193
10/01/2006,43709
11/01/2006,44909
12/01/2006,49551
01/01/2007,43776
02/01/2007,41243
03/01/2007,45276
04/01/2007,43599
05/01/2007,47215
06/01/2007,46381
07/01/2007,46477
08/01/2007,46705
09/01/2007,44930
10/01/2007,45782
11/01/2007,46911
12/01/2007,51192
01/01/2008,46058
02/01/2008,44169
03/01/2008,47069
04/01/2008,45550
05/01/2008,49809
06/01/2008,47364
07/01/2008,49287
08/01/2008,49093
09/01/2008,46270
10/01/2008,47800
11/01/2008,47905
12/01/2008,50708
01/01/2009,47357
02/01/2009,42900
03/01/2009,45877
04/01/2009,46665
05/01/2009,49321
06/01/2009,47049
07/01/2009,48927
08/01/2009,48015
09/01/2009,46413
10/01/2009,48031
11/01/2009,47464
12/01/2009,52310
01/01/2010,47081
02/01/2010,44309
03/01/2010,48318
04/01/2010,47088
05/01/2010,49827
06/01/2010,47896
07/01/2010,49917
08/01/2010,48555
09/01/2010,47564
10/01/2010,48847
11/01/2010,49083
12/01/2010,53621
01/01/2011,48702
02/01/2011,45607
03/01/2011,50025
04/01/2011,50851
05/01/2011,51521
06/01/2011,51059
07/01/2011,52556
08/01/2011,51755
09/01/2011,50171
10/01/2011,50958
11/01/2011,51504
12/01/2011,56353
01/01/2012,49989
02/01/2012,49102
03/01/2012,52785
04/01/2012,51012
05/01/2012,54195
06/01/2012,52814
07/01/2012,53063
08/01/2012,53522
09/01/2012,51358
10/01/2012,52255
11/01/2012,53186
12/01/2012,57026
01/01/2013,51908
02/01/2013,48601
03/01/2013,54450
04/01/2013,50497
05/01/2013,55418
06/01/2013,53358
07/01/2013,54536
08/01/2013,55230
09/01/2013,51772
10/01/2013,53913
11/01/2013,54824
12/01/2013,58186
01/01/2014,54334
02/01/2014,50077
03/01/2014,54394
04/01/2014,54339
05/01/2014,57896
06/01/2014,55371
07/01/2014,57528
08/01/2014,57286
09/01/2014,54330
10/01/2014,57019
11/01/2014,57086
12/01/2014,61234
01/01/2015,56596
02/01/2015,52244
03/01/2015,56782
04/01/2015,55610
05/01/2015,59380
06/01/2015,56875
07/01/2015,59183
08/01/2015,57929
09/01/2015,55798
10/01/2015,57673
11/01/2015,57103
12/01/2015,62400
01/01/2016,57224
02/01/2016,54397
03/01/2016,58335
04/01/2016,56641
05/01/2016,59497
06/01/2016,58792
07/01/2016,60041
08/01/2016,58692
09/01/2016,57436
10/01/2016,58799
11/01/2016,58916
12/01/2016,64663
01/01/2017,57276
02/01/2017,54148
03/01/2017,59772
04/01/2017,59082
05/01/2017,61255
06/01/2017,59818
07/01/2017,60846
08/01/2017,60636
09/01/2017,59417
